decay_fn,epsilon_min,epsilon_max,epsilon_decay,alpha,beta,delta,reward_discount,mem_size,batch_size,episodes,reward,max_score,action_space,qrtm_n_clauses,T,s,wins,win_ratio,run_date,bin_length,incremental,weighted_clauses,binarizer
SEDF,0,0,0,0.4,0.2,0.2,1,10000,25,100,0,1,2,200,100,1e-06,0,0.0,20210201_203803,3,True,False,U
SEDF,0,0,0,0.4,0.2,0.2,1,10000,25,100,0,1,2,200,100,1e-06,0,0.0,20210201_204153,3,True,False,U
SEDF,0,0,0,0.4,0.2,0.2,1,10000,25,100,0,1,2,200,100,1e-06,0,0.0,20210201_204753,3,True,False,U
EDF,0.01,1.0,0.99,0,0,0,1,10000,25,100,0,1,2,200,100,1e-06,0,0.0,20210201_205233,3,True,False,U
EDF,0.01,1.0,0.99,0,0,0,1,10000,25,100,0,1,2,200,100,1e-06,0,0.0,20210201_205412,3,True,True,U
EDF,0.01,1.0,0.99,0,0,0,1,10000,25,100,0,1,2,200,100,1e-06,0,0.0,20210202_180904,3,True,True,S
EDF,0.01,1.0,0.99,0,0,0,1,10000,25,100,0,1,2,200,100,1e-06,0,0.0,20210202_181110,3,True,True,S
EDF,0.01,1.0,0.99,0,0,0,1,10000,25,100,0,1,2,200,100,1e-06,0,0.0,20210202_191037,3,True,True,S
EDF,0.01,1.0,0.99,0,0,0,1,10000,25,100,0,1,2,200,100,1e-06,0,0.0,20210202_191314,3,True,True,S
EDF,0.01,1.0,0.99,0,0,0,1,10000,25,100,0,1,2,200,100,1e-06,0,0.0,20210203_001617,3,True,True,S
EDF,0.01,1.0,0.99,0,0,0,1,10000,25,100,0,1,2,200,100,1e-06,0,0.0,20210203_001759,3,True,False,S
EDF,0.01,1.0,0.99,0,0,0,0.9,10000,25,100,0,1,2,200,100,1e-06,0,0.0,20210203_002233,3,True,False,S
EDF,0.01,1.0,0.99,0,0,0,1,10000,25,100,0,1,2,200,100,1e-06,0,0.0,20210203_003825,3,True,False,S
EDF,0.01,1.0,0.99,0,0,0,1,10000,25,100,0,10,2,200,100,1e-06,0,0.0,20210203_004954,3,True,False,S
EDF,0.01,1.0,0.99,0,0,0,1,10000,25,100,0,10,2,200,100,1e-06,0,0.0,20210203_005317,3,True,False,S
EDF,0.01,1.0,0.99,0,0,0,1,10000,25,100,0,1,2,200,100,1e-06,0,0.0,20210203_005644,3,True,False,S
EDF,0.01,1.0,0.99,0,0,0,1,10000,25,100,0,1,2,200,100,1e-06,0,0.0,20210203_005917,3,True,False,S
EDF,0.01,1.0,0.99,0,0,0,1,10000,5,100,0,1,2,200,100,1e-06,0,0.0,20210205_141732,3,True,False,S
EDF,0.01,1.0,0.99,0,0,0,1,10000,5,100,0,1,2,200,100,1e-06,0,0.0,20210215_110803,3,True,False,S
EDF,0.01,1.0,0.99,0,0,0,1,10000,5,100,0,1,2,15,8,1e-06,0,0.0,20210215_112022,3,True,False,S
EDF,0.01,1.0,0.99,0,0,0,1,10000,5,100,0,1,2,5,3,1e-06,0,0.0,20210215_112348,3,True,False,S
EDF,0.01,1.0,0.99,0,0,0,1,10000,5,100,0,1,2,5,3,1e-06,0,0.0,20210215_121348,3,True,False,S
EDF,0.01,1.0,0.99,0,0,0,1,10000,5,100,0,1,2,100,50,1e-06,0,0.0,20210215_121511,3,True,False,S
EDF,0.01,1.0,0.99,0,0,0,1,10000,5,100,0,1,2,100,50,1e-06,0,0.0,20210215_121617,3,True,False,S
EDF,0.01,1.0,0.99,0,0,0,1,10000,5,100,0,1,2,5,3,2.75,0,0.0,20210215_121733,3,True,False,S
EDF,0.01,1.0,0.99,0,0,0,1,10000,5,100,0,1,2,5,3,1e-05,0,0.0,20210215_122937,3,True,False,S
EDF,0.01,1.0,0.99,0,0,0,1,10000,5,100,0,1,2,5,3,1e-05,0,0.0,20210215_123044,3,True,False,S
EDF,0.01,1.0,0.99,0,0,0,1,10000,5,100,0,1,2,5,3,1e-05,0,0.0,20210215_123222,3,True,False,S
EDF,0.01,1.0,0.99,0,0,0,1,10000,5,100,0,1,2,5,3,1e-05,0,0.0,20210223_145630,3,True,False,S
EDF,0.01,1.0,0.99,0,0,0,1,10000,5,100,0,1,2,3,3,1e-05,0,0.0,20210223_145842,3,True,False,S
EDF,0.01,1.0,0.99,0,0,0,1,10000,5,100,0,1,2,6,3,1e-06,0,0.0,20210223_145957,3,True,False,S
EDF,0.01,1.0,0.99,0,0,0,1,10000,5,5,0,1,2,6,3,1e-06,0,0.0,20210302_142818,3,True,False,S
EDF,0.01,1.0,0.99,0,0,0,1,10000,5,10,0,1,2,6,3,1e-06,0,0.0,20210302_142847,3,True,False,S
EDF,0.01,1.0,0.99,0,0,0,1,10000,5,100,0,1,2,6,3,1e-06,0,0.0,20210302_145151,3,True,False,S
SEDF,0,0,0,0.4,0.2,0.2,1,10000,5,300,0,1,2,6,3,1e-06,0,0.0,20210302_154548,3,True,False,S
SEDF,0,0,0,0.4,0.2,0.2,1,10000,5,300,0,1,2,6,3,1e-06,0,0.0,20210302_171849,3,True,False,S
SEDF,0,0,0,0.4,0.2,0.2,1,10000,5,300,0,1,2,6,3,1e-06,0,0.0,20210303_123735,3,True,False,S
SEDF,0,0,0,0.4,0.2,0.2,1,10000,5,300,0,10,2,6,3,1e-06,0,0.0,20210304_133402,3,True,False,S
